"행정구역","2025년03월_거주자 인구수","2025년03월_세대수","2025년03월_세대당 인구","2025년03월_남자 인구수","2025년03월_여자 인구수","2025년03월_남여 비율"
"서울특별시 강남구 (1168000000)","550,080","240,064","          2.29","262,712","287,368","          0.91"
"서울특별시 강남구 신사동(1168051000)","14,935","6,422","          2.33","6,959","7,976","          0.87"
"서울특별시 강남구 논현1동(1168052100)","20,184","12,985","          1.55","9,526","10,658","          0.89"
"서울특별시 강남구 논현2동(1168053100)","19,591","10,801","          1.81","9,085","10,506","          0.86"
"서울특별시 강남구 압구정동(1168054500)","25,141","9,715","          2.59","11,668","13,473","          0.87"
"서울특별시 강남구 청담동(1168056500)","23,481","10,229","          2.30","10,906","12,575","          0.87"
"서울특별시 강남구 삼성1동(1168058000)","12,274","5,227","          2.35","5,994","6,280","          0.95"
"서울특별시 강남구 삼성2동(1168059000)","29,840","13,445","          2.22","14,226","15,614","          0.91"
"서울특별시 강남구 대치1동(1168060000)","23,766","7,147","          3.33","11,925","11,841","          1.01"
"서울특별시 강남구 대치2동(1168061000)","37,913","13,070","          2.90","19,275","18,638","          1.03"
"서울특별시 강남구 대치4동(1168063000)","17,960","9,423","          1.91","8,577","9,383","          0.91"
"서울특별시 강남구 역삼1동(1168064000)","33,350","23,109","          1.44","16,271","17,079","          0.95"
"서울특별시 강남구 역삼2동(1168065000)","35,607","15,177","          2.35","16,512","19,095","          0.86"
"서울특별시 강남구 도곡1동(1168065500)","20,449","8,087","          2.53","9,684","10,765","          0.90"
"서울특별시 강남구 도곡2동(1168065600)","31,958","11,233","          2.85","14,734","17,224","          0.86"
"서울특별시 강남구 개포1동(1168066000)","26,446","9,068","          2.92","12,747","13,699","          0.93"
"서울특별시 강남구 개포2동(1168067000)","42,063","14,887","          2.83","20,418","21,645","          0.94"
"서울특별시 강남구 개포3동(1168067500)","16,520","7,265","          2.27","7,973","8,547","          0.93"
"서울특별시 강남구 개포4동(1168069000)","22,756","9,840","          2.31","10,917","11,839","          0.92"
"서울특별시 강남구 세곡동(1168070000)","45,903","20,171","          2.28","21,406","24,497","          0.87"
"서울특별시 강남구 일원본동(1168072000)","22,409","7,895","          2.84","11,084","11,325","          0.98"
"서울특별시 강남구 일원1동(1168073000)","14,117","7,358","          1.92","6,786","7,331","          0.93"
"서울특별시 강남구 수서동(1168075000)","13,417","7,510","          1.79","6,039","7,378","          0.82"
